#{"t_start": 1673945640.6170967, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.2523
27.0,27,0.282144
13.0,13,0.298044
9.0,9,0.309499
18.0,18,0.33395
43.0,43,0.383861
21.0,21,0.423059
37.0,37,0.471261
72.0,72,0.563983
11.0,11,0.577249
31.0,31,0.614067
31.0,31,0.662742
22.0,22,0.68825
42.0,42,0.749794
34.0,34,0.791458
23.0,23,0.820056
30.0,30,0.862122
54.0,54,0.937957
54.0,54,1.009998
57.0,57,1.104884
65.0,65,1.191306
43.0,43,1.242545
86.0,86,1.441436
31.0,31,1.478028
48.0,48,1.547499
39.0,39,1.652629
69.0,69,1.746596
50.0,50,1.806972
45.0,45,1.857676
44.0,44,1.93625
32.0,32,1.971353
36.0,36,2.016621
63.0,63,2.100182
54.0,54,2.218488
144.0,144,2.408113
107.0,107,2.530785
62.0,62,2.66468
82.0,82,2.800632
197.0,197,3.148171
117.0,117,3.395612
160.0,160,3.630603
74.0,74,3.720332
143.0,143,3.994797
227.0,227,4.325845
64.0,64,4.457829
135.0,135,4.683197
143.0,143,4.954201
163.0,163,5.19209
299.0,299,5.603585
207.0,207,5.934605
148.0,148,6.11874
88.0,88,6.234135
208.0,208,6.51663
150.0,150,6.691778
126.0,126,6.836669
101.0,101,6.952441
136.0,136,7.103928
203.0,203,7.329604
